Nr,Cod,Denumire,Denumire scurtă,Localitate,Localitate superioară,Județ,Statut,Tip unitate,Formă de proprietate
2619,362100851,GRĂDINIȚA CU PROGRAM NORMAL CORNĂȚEL,GPN CORNĂȚEL,CORNĂŢEL,BUZOEŞTI,ARGEŞ,Arondată,Unitate de învățământ,Publică de interes naţional şi local
2620,1562105077,GRĂDINIȚA CU PROGRAM NORMAL CORNĂȚELU,GPN CORNĂȚELU,CORNĂŢELU,CORNĂŢELU,DÂMBOVIŢA,Arondată,Unitate de învățământ,Publică de interes naţional şi local
2621,1162101233,GRĂDINIŢA CU PROGRAM NORMAL CORNEA,GPN CORNEA,CORNEA,CORNEA,CARAŞ-SEVERIN,Arondată,Unitate de învățământ,Publică de interes naţional şi local
2622,1162100431,GRĂDINIŢA CU PROGRAM NORMAL CORNEREVA,GPN CORNEREVA,CORNEREVA,CORNEREVA,CARAŞ-SEVERIN,Arondată,Unitate de învățământ,Publică de interes naţional şi local
2623,3562103934,GRĂDINIȚA CU PROGRAM NORMAL CORNEȘTI,GPN CORNESTI ORȚIȘOARA,CORNEŞTI,ORŢIŞOARA,TIMIŞ,Arondată,Unitate de învățământ,Publică de interes naţional şi local
2624,1562104967,GRĂDINIȚA CU PROGRAM NORMAL CORNEȘTI,GPN CORNEȘTI,CORNEŞTI,CORNEŞTI,DÂMBOVIŢA,Arondată,Unitate de învățământ,Publică de interes naţional şi local
2625,2662103614,GRĂDINIȚA CU PROGRAM NORMAL CORNEȘTI ADĂMUȘ,GPN CORNEŞTI ADĂMUȘ,CORNEŞTI,ADĂMUŞ,MUREŞ,Arondată,Unitate de învățământ,Publică de interes naţional şi local
2626,1262101471,"GRĂDINIȚA CU PROGRAM NORMAL CORNEȘTI, COM. MIHAI VITEAZU","GRĂDINIȚA CU PN CORNEȘTI, COM. MIHAI VITEAZU",CORNEŞTI,MIHAI VITEAZU,CLUJ,Arondată,Unitate de învățământ,Publică de interes naţional şi local
2627,3962104228,GRĂDINIȚA CU PROGRAM NORMAL CORNETU,GRĂD.PR.NORMAL CORNETU,CORNETU,SLOBOZIA BRADULUI,VRANCEA,Arondată,Unitate de învățământ,Publică de interes naţional şi local
2628,3362106533,GRĂDINIȚA CU PROGRAM NORMAL CORNI,GPN CORNI,CORNI,ORAŞ LITENI,SUCEAVA,Arondată,Unitate de învățământ,Publică de interes naţional şi local
2629,2462102299,GRĂDINIȚA CU PROGRAM NORMAL CORNI,GPN CORNI,CORNI,BICAZ,MARAMUREŞ,Arondată,Unitate de învățământ,Publică de interes naţional şi local
