Nr,Cod,Denumire,Denumire scurtă,Localitate,Localitate superioară,Județ,Statut,Tip unitate,Formă de proprietate
14772,3762101169,"ȘCOALA GIMNAZIALĂ, SAT BĂDEANA",S08 BĂDEANA,BĂDEANA,TUTOVA,VASLUI,Arondată,Unitate de învățământ,Publică de interes naţional şi local
14773,3861105303,"ȘCOALA GIMNAZIALĂ, SAT BĂTĂȘANI, COMUNA VALEA MARE",SC GIM BATASANI VALEA MARE,BĂTĂŞANI,VALEA MARE,VÂLCEA,Cu personalitate juridică,Unitate de învățământ,Publică de interes naţional şi local
14774,1062105736,ŞCOALA GIMNAZIALĂ SAT BÂSCA CHIOJDULUI COMUNA CHIOJDU,ŞC. GIMN. BÂSCA CHIOJDULUI,BÂSCA CHIOJDULUI,CHIOJDU,BUZĂU,Arondată,Unitate de învățământ,Publică de interes naţional şi local
14775,1062101732,ŞCOALA GIMNAZIALĂ SAT BÂSCA ROZILEI ORAŞ NEHOIU,ŞC. GIMN. BÂSCA ROZILEI NEHOIU,BÂSCA ROZILEI,ORAŞ NEHOIU,BUZĂU,Arondată,Unitate de învățământ,Publică de interes naţional şi local
14776,1062105234,ŞCOALA GIMNAZIALĂ SAT BÂSCENII DE SUS COMUNA CALVINI,ŞC.GIM. BÂSCENII DE SUS,BÂSCENII DE SUS,CALVINI,BUZĂU,Arondată,Unitate de învățământ,Publică de interes naţional şi local
14777,1062102769,ŞCOALA GIMNAZIALĂ SAT BOBOC COMUNA COCHIRLEANCA,ŞC. GIMN. BOBOC,BOBOC,COCHIRLEANCA,BUZĂU,Arondată,Unitate de învățământ,Publică de interes naţional şi local
14778,3861100809,"ȘCOALA GIMNAZIALĂ, SAT BODEȘTI, COMUNA BĂRBĂTEȘTI",SC GIM BODESTI BARBATESTI,BODEŞTI,BĂRBĂTEŞTI,VÂLCEA,Cu personalitate juridică,Unitate de învățământ,Publică de interes naţional şi local
14779,2962103374,"ȘCOALA GIMNAZIALĂ, SAT BRĂTĂȘANCA, COMUNA FILIPEȘTII DE TÂRG",SCOALA GIM BRĂTĂȘANCA,BRĂTĂŞANCA,FILIPEŞTII DE TÂRG,PRAHOVA,Arondată,Unitate de învățământ,Publică de interes naţional şi local
14780,1061106479,ŞCOALA GIMNAZIALĂ SAT BRĂTILEŞTI COMUNA BRĂEŞTI,ŞC.GIM. BRĂTILEŞTI,BRĂTILEŞTI,BRĂEŞTI,BUZĂU,Cu personalitate juridică,Unitate de învățământ,Publică de interes naţional şi local
14781,2961100181,"ȘCOALA GIMNAZIALĂ, SAT BUDA, COMUNA RÂFOV",SCOALA GIM BUDA RÂFOV,BUDA,RÂFOV,PRAHOVA,Cu personalitate juridică,Unitate de învățământ,Publică de interes naţional şi local
14782,1062101094,ŞCOALA GIMNAZIALĂ SAT BUDA CRĂCIUNEŞTI COMUNA CISLĂU,ŞC.GIM. BUDA CRĂCIUNEŞTI COMUNA CISLAU,BUDA CRĂCIUNEŞTI,CISLĂU,BUZĂU,Arondată,Unitate de învățământ,Publică de interes naţional şi local
14783,2962105584,"ȘCOALA GIMNAZIALĂ, SAT BUGHEA DE JOS, COMUNA GURA VITIOAREI",SCOALA GIM BUGHEA DE JOS,BUGHEA DE JOS,GURA VITIOAREI,PRAHOVA,Arondată,Unitate de învățământ,Publică de interes naţional şi local
14784,3762106043,"ȘCOALA GIMNAZIALĂ, SAT BUNEȘTI",S08 BUNEȘTI,BUNEŞTI,BUNEŞTI-AVEREŞTI,VASLUI,Arondată,Unitate de învățământ,Publică de interes naţional şi local
14785,3861100664,"ȘCOALA GIMNAZIALĂ, SAT BUNGEȚANI, COMUNA FĂUREȘTI",SC GIM FAURESTI,BUNGEŢANI,FĂUREŞTI,VÂLCEA,Cu personalitate juridică,Unitate de învățământ,Publică de interes naţional şi local
14786,1062100636,ŞCOALA GIMNAZIALĂ SAT CĂLDĂRĂŞTI ORAŞ POGOANELE,ŞC. GIM. CĂLDĂRĂŞTI,CĂLDĂRĂŞTI,ORAŞ POGOANELE,BUZĂU,Arondată,Unitate de învățământ,Publică de interes naţional şi local
14787,2962101404,"ȘCOALA GIMNAZIALĂ, SAT CĂTINA, COMUNA FLOREȘTI",SCOALA GIM CATINA FLORESTI,CĂTINA,FLOREŞTI,PRAHOVA,Arondată,Unitate de învățământ,Publică de interes naţional şi local
14788,1061106452,ŞCOALA GIMNAZIALĂ SAT CÂNDEŞTI COMUNA VERNEŞTI,ŞC. GIMN. CÂNDEŞTI,CÂNDEŞTI,VERNEŞTI,BUZĂU,Cu personalitate juridică,Unitate de învățământ,Publică de interes naţional şi local
14789,3861101068,"ȘCOALA GIMNAZIALĂ, SAT CÂRSTĂNEȘTI, COM. OTEȘANI",SC GIM CARSTANESTI OTESANI,CÂRSTĂNEŞTI,OTEŞANI,VÂLCEA,Cu personalitate juridică,Unitate de învățământ,Publică de interes naţional şi local
14790,3762103198,"ȘCOALA GIMNAZIALĂ, SAT CHETROSU",S08 CHETROSU,CHETROSU,GHERGHEŞTI,VASLUI,Arondată,Unitate de învățământ,Publică de interes naţional şi local
14791,2961102667,"ȘCOALA GIMNAZIALĂ, SAT CIORANII DE SUS, COMUNA CIORANI",SCOALA GIM CIORANII DE SUS,CIORANII DE SUS,CIORANI,PRAHOVA,Cu personalitate juridică,Unitate de învățământ,Publică de interes naţional şi local
14792,2962105566,"ȘCOALA GIMNAZIALĂ, SAT CIUPELNIȚA, COMUNA DUMBRAVA",SCOALA GIMNAZIALA CIUPELNITA DUMBRAVA,CIUPELNIŢA,DUMBRAVA,PRAHOVA,Arondată,Unitate de învățământ,Publică de interes naţional şi local
14793,2962103347,"ȘCOALA GIMNAZIALĂ, SAT CONDURATU, COMUNA BABA ANA",SCOALA GIM CONDURATU BABA ANA,CONDURATU,BABA ANA,PRAHOVA,Arondată,Unitate de învățământ,Publică de interes naţional şi local
14794,3861105104,"ȘCOALA GIMNAZIALĂ, SAT COPĂCENI, COMUNA RACOVIȚA",SC GIM COPACENI RACOVITA,RACOVIŢA,RACOVIŢA,VÂLCEA,Cu personalitate juridică,Unitate de învățământ,Publică de interes naţional şi local
14795,2962104081,"ȘCOALA GIMNAZIALĂ, SAT CORLĂTEȘTI, COMUNA BERCENI",SCOALA GIM CORLATESTI,CORLĂTEŞTI,BERCENI,PRAHOVA,Arondată,Unitate de învățământ,Publică de interes naţional şi local
14796,3762104068,"ȘCOALA GIMNAZIALĂ, SAT CORNI-ALBEȘTI",S08 CORNI ALBEȘTI,CORNI-ALBEŞTI,ALBEŞTI,VASLUI,Arondată,Unitate de învățământ,Publică de interes naţional şi local
14797,1062101682,ŞCOALA GIMNAZIALĂ SAT COŢATCU COMUNA PODGORIA,ȘC GIM COŢATCU,COŢATCU,PODGORIA,BUZĂU,Arondată,Unitate de învățământ,Publică de interes naţional şi local
14798,2962105177,"ȘCOALA GIMNAZIALĂ, SAT COȚOFENEȘTI, COMUNA VĂRBILĂU",SCOALA GIM COTOFENESTI VARB.,COŢOFENEŞTI,VĂRBILĂU,PRAHOVA,Arondată,Unitate de învățământ,Publică de interes naţional şi local
14799,3861100818,"ȘCOALA GIMNAZIALĂ, SAT DĂEȘTI, COMUNA POPEȘTI",SC GIM DAESTI POPESTI,DĂEŞTI,POPEŞTI,VÂLCEA,Cu personalitate juridică,Unitate de învățământ,Publică de interes naţional şi local
14800,2961102527,"ȘCOALA GIMNAZIALĂ, SAT DÂRVARI, COMUNA VALEA CĂLUGĂREASCĂ",SCOALA GIM DÂRVARI VALEA CLG.,DÂRVARI,VALEA CĂLUGĂREASCĂ,PRAHOVA,Cu personalitate juridică,Unitate de învățământ,Publică de interes naţional şi local
14801,1062106027,ŞCOALA GIMNAZIALĂ SAT DEDULEŞTI COMUNA TOPLICENI,ŞC.GIM. DEDULEŞTI,DEDULEŞTI,TOPLICENI,BUZĂU,Arondată,Unitate de învățământ,Publică de interes naţional şi local
14802,3762103379,"ȘCOALA GIMNAZIALĂ, SAT DOAGELE",S08 DOAGELE,DOAGELE,DRAGOMIREŞTI,VASLUI,Arondată,Unitate de învățământ,Publică de interes naţional şi local
14803,2962100932,"ȘCOALA GIMNAZIALĂ, SAT DRAJNA DE SUS, COMUNA DRAJNA",SCOALA GIM DRAJNA DE SUS,DRAJNA DE SUS,DRAJNA,PRAHOVA,Arondată,Unitate de învățământ,Publică de interes naţional şi local
14804,3762107261,"ȘCOALA GIMNAZIALĂ, SAT EMIL RACOVIȚĂ",S08 EMIL RACOVIȚĂ,EMIL RACOVIŢĂ,DĂNEŞTI,VASLUI,Arondată,Unitate de învățământ,Publică de interes naţional şi local
14805,3762102256,"ȘCOALA GIMNAZIALĂ, SAT FLORENI",S08 FLORENI,FLORENI,ORAŞ MURGENI,VASLUI,Arondată,Unitate de învățământ,Publică de interes naţional şi local
14806,3762100512,"ȘCOALA GIMNAZIALĂ, SAT FLOREȘTI",S08 FLOREȘTI,FLOREŞTI,POIENEŞTI,VASLUI,Arondată,Unitate de învățământ,Publică de interes naţional şi local
14807,3762100616,"ȘCOALA GIMNAZIALĂ, SAT FOCȘEASCA",S08 FOCȘEASCA,FOCŞEAŞCA,TĂCUTA,VASLUI,Arondată,Unitate de învățământ,Publică de interes naţional şi local
14808,2962100683,"ȘCOALA GIMNAZIALĂ, SAT FULGA DE JOS, COMUNA FULGA",SCOALA GIM FULGA DE JOS,FULGA DE JOS,FULGA,PRAHOVA,Arondată,Unitate de învățământ,Publică de interes naţional şi local
14809,3762100444,"ȘCOALA GIMNAZIALĂ, SAT FUNDU-VĂII",S08 FUNDU-VĂII,FUNDU VĂII,LIPOVĂŢ,VASLUI,Arondată,Unitate de învățământ,Publică de interes naţional şi local
14810,3762102568,"ȘCOALA GIMNAZIALĂ, SAT GÂRDEȘTI",S08 GÂRDEȘTI,GÂRDEŞTI,VOINEŞTI,VASLUI,Arondată,Unitate de învățământ,Publică de interes naţional şi local
14811,2962104366,"ȘCOALA GIMNAZIALĂ, SAT GORUNA, COMUNA COCORĂȘTII MISLII",SCOALA GIM GORUNA COC. MISLII,GORUNA,COCORĂŞTII MISLII,PRAHOVA,Arondată,Unitate de învățământ,Publică de interes naţional şi local
14812,1062102493,ŞCOALA GIMNAZIALĂ SAT GRĂJDANA COMUNA TISĂU,ŞC.GIM. GRĂJDANA TISAU,GRĂJDANA,TISĂU,BUZĂU,Arondată,Unitate de învățământ,Publică de interes naţional şi local
14813,3762103465,"ȘCOALA GIMNAZIALĂ, SAT GRĂJDENI",S08 GRĂJDENI,GRĂJDENI,FRUNTIŞENI,VASLUI,Arondată,Unitate de învățământ,Publică de interes naţional şi local
14814,1062104545,"ŞCOALA GIMNAZIALĂ SAT GURA DIMIENII, COMUNA BECENI",ŞC. GIMN. DIMIANA BECENI,GURA DIMIENII,BECENI,BUZĂU,Arondată,Unitate de învățământ,Publică de interes naţional şi local
14815,3861100872,"ȘCOALA GIMNAZIALĂ, SAT GURA VĂII, COMUNA BUJORENI",SC GIM GURA-VAII,GURA VĂII,BUJORENI,VÂLCEA,Cu personalitate juridică,Unitate de învățământ,Publică de interes naţional şi local
14816,1061104269,ŞCOALA GIMNAZIALĂ SAT HALEŞ COMUNA TISĂU,ŞC.GIM.HALEŞ TISĂU,HALEŞ,TISĂU,BUZĂU,Cu personalitate juridică,Unitate de învățământ,Publică de interes naţional şi local
14817,2962100484,"ȘCOALA GIMNAZIALĂ, SAT HĂBUD, COMUNA ȘIRNA",SCOALA GIM HABUD SIRNA,HĂBUD,ŞIRNA,PRAHOVA,Arondată,Unitate de învățământ,Publică de interes naţional şi local
14818,3762103637,"ȘCOALA GIMNAZIALĂ, SAT HÂRSOVA",S08 HÂRSOVA,HÂRSOVA,DELEŞTI,VASLUI,Arondată,Unitate de învățământ,Publică de interes naţional şi local
14819,2962105955,"ȘCOALA GIMNAZIALĂ, SAT HOMORÂCIU, COMUNA IZVOARELE",SCOALA GIM HOMORÂCIU,HOMORÂCIU,IZVOARELE,PRAHOVA,Arondată,Unitate de învățământ,Publică de interes naţional şi local
14820,2962100516,"ȘCOALA GIMNAZIALĂ, SAT INOTEȘTI, COMUNA COLCEAG",SCOALA GIM INOTESTI COLCEAG,INOTEŞTI,COLCEAG,PRAHOVA,Arondată,Unitate de învățământ,Publică de interes naţional şi local
14821,1062100238,ȘCOALA GIMNAZIALĂ SAT IZVORU DULCE COMUNA MEREI,ŞC GIM IZVORU DULCE MEREI,IZVORU DULCE,MEREI,BUZĂU,Arondată,Unitate de învățământ,Publică de interes naţional şi local
14822,2962107713,"ȘCOALA GIMNAZIALĂ, SAT LACU TURCULUI, COMUNA BALTA DOAMNEI",ȘC. LACU TURCULUI,LACU TURCULUI,BALTA DOAMNEI,PRAHOVA,Arondată,Unitate de învățământ,Publică de interes naţional şi local
14823,3762106572,"ȘCOALA GIMNAZIALĂ, SAT LĂLEȘTI",S08 LĂLEȘTI,LĂLEŞTI,PUIEŞTI,VASLUI,Arondată,Unitate de învățământ,Publică de interes naţional şi local
14824,1062100274,ŞCOALA GIMNAZIALĂ SAT LIPIA COMUNA MEREI,ŞC.GIM. LIPIA MEREI,LIPIA,MEREI,BUZĂU,Arondată,Unitate de învățământ,Publică de interes naţional şi local
14825,2962106115,"ȘCOALA GIMNAZIALĂ, SAT LOLOIASCA, COMUNA TOMȘANI",SCOALA GIM LOLOIASCA TOMSANI,LOLOIASCA,TOMŞANI,PRAHOVA,Arondată,Unitate de învățământ,Publică de interes naţional şi local
14826,1061104233,ŞCOALA GIMNAZIALĂ SAT LUNCA PRIPORULUI ORAŞ NEHOIU,ŞC. GIMN. LUNCA PRIPOR NEHOIU,LUNCA PRIPORULUI,ORAŞ NEHOIU,BUZĂU,Cu personalitate juridică,Unitate de învățământ,Publică de interes naţional şi local
14827,1062105686,ȘCOALA GIMNAZIALĂ SAT LUNCILE COMUNA LOPĂTARI,ŞC GIM LUNCILE,LUNCILE,LOPĂTARI,BUZĂU,Arondată,Unitate de învățământ,Publică de interes naţional şi local
14828,1061104459,ŞCOALA GIMNAZIALĂ SAT MAXENU COMUNA ŢINTEŞTI,ŞC.GIM. MAXENU,MAXENU,ŢINTEŞTI,BUZĂU,Cu personalitate juridică,Unitate de învățământ,Publică de interes naţional şi local
14829,3861101005,"ȘCOALA GIMNAZIALĂ, SAT MĂDULARI, COMUNA CERNIȘOARA",SC GIM MADULARI CERNISOARA,MĂDULARI,CERNIŞOARA,VÂLCEA,Cu personalitate juridică,Unitate de învățământ,Publică de interes naţional şi local
14830,3861100904,"ȘCOALA GIMNAZIALĂ, SAT MĂGURA, COMUNA MIHĂEȘTI",SC GIM MAGURA MIHAESTI,MĂGURA,MIHĂEŞTI,VÂLCEA,Cu personalitate juridică,Unitate de învățământ,Publică de interes naţional şi local
14831,2961102676,"ȘCOALA GIMNAZIALĂ, SAT MĂNECIU-PĂMÂNTENI, COMUNA MĂNECIU",SCOALA GIM MĂNECIU-PAMÂNTENI,MĂNECIU-PĂMÂNTENI,MĂNECIU,PRAHOVA,Cu personalitate juridică,Unitate de învățământ,Publică de interes naţional şi local
14832,2961101458,"ȘCOALA GIMNAZIALĂ, SAT MĂRGINENII DE JOS, COMUNA FILIPEȘTII DE TÂRG",SCOALA GIM MARGINENII DE JOS,MĂRGINENII DE JOS,FILIPEŞTII DE TÂRG,PRAHOVA,Cu personalitate juridică,Unitate de învățământ,Publică de interes naţional şi local
14833,1062106981,ŞCOALA GIMNAZIALĂ SAT MĂRUNȚIȘU ORAŞ PĂTÂRLAGELE,SC GIM MĂRUNȚIȘU,MĂRUNŢIŞU,ORAŞ PĂTÂRLAGELE,BUZĂU,Arondată,Unitate de învățământ,Publică de interes naţional şi local
14834,3762102645,"ȘCOALA GIMNAZIALĂ, SAT MĂSCUREI",S08 MĂSCUREI,MĂSCUREI,POGANA,VASLUI,Arondată,Unitate de învățământ,Publică de interes naţional şi local
14835,1062101949,ŞCOALA GIMNAZIALĂ SAT MĂTEŞTI COMUNA SĂPOCA,ŞC.GIM. MĂTEŞTI,MĂTEŞTI,SĂPOCA,BUZĂU,Arondată,Unitate de învățământ,Publică de interes naţional şi local
14836,2962106617,"ȘCOALA GIMNAZIALĂ, SAT MEHEDINȚA, COMUNA PODENII NOI",SCOALA GIM MEHEDINTA PODENII,MEHEDINŢA,PODENII NOI,PRAHOVA,Arondată,Unitate de învățământ,Publică de interes naţional şi local
14837,3762103741,"ȘCOALA GIMNAZIALĂ, SAT MIRENI",S08 MIRENI,MIRENI,COROIEŞTI,VASLUI,Arondată,Unitate de învățământ,Publică de interes naţional şi local
14838,2962104782,"ȘCOALA GIMNAZIALĂ, SAT MIREȘU MARE, COMUNA SÂNGERU",SCOALA GIM MIRES SÂNGERU,MIREŞU MARE,SÂNGERU,PRAHOVA,Arondată,Unitate de învățământ,Publică de interes naţional şi local
14839,1061103571,ŞCOALA GIMNAZIALĂ SAT MODRENI COMUNA VALEA SALCIEI,ȘC GIM MODRENI VALEA SALCIEI,MODRENI,VALEA SALCIEI,BUZĂU,Cu personalitate juridică,Unitate de învățământ,Publică de interes naţional şi local
14840,3861100913,"ȘCOALA GIMNAZIALĂ, SAT MOLOGEȘTI, COMUNA LALOȘU",ȘC GIM MOLOGEȘTI LALOȘU,MOLOGEŞTI,LALOŞU,VÂLCEA,Cu personalitate juridică,Unitate de învățământ,Publică de interes naţional şi local
14841,3861105312,"ȘCOALA GIMNAZIALĂ, SAT MUEREASCA DE SUS, COMUNA MUEREASCA",SC GIM MUEREASCA SUS MUEREASCA,MUEREASCA DE SUS,MUEREASCA,VÂLCEA,Cu personalitate juridică,Unitate de învățământ,Publică de interes naţional şi local
14842,2961102102,"ȘCOALA GIMNAZIALĂ, SAT NEDELEA, COMUNA ARICEȘTII RAHTIVANI",SCOALA GIM NEDELEA,NEDELEA,ARICEŞTII RAHTIVANI,PRAHOVA,Cu personalitate juridică,Unitate de învățământ,Publică de interes naţional şi local
14843,1062100595,ŞCOALA GIMNAZIALĂ SAT NICOLEŞTI COMUNA PUIEŞTI,ŞC.GIM NICOLEŞTI PUIEŞTI,NICOLEŞTI,PUIEŞTI,BUZĂU,Arondată,Unitate de învățământ,Publică de interes naţional şi local
14844,2962106834,"ȘCOALA GIMNAZIALĂ, SAT NICOVANI, COMUNA VALEA CĂLUGAREASCĂ",SCOALA GIM NICOVANI VALEA C.,VALEA CĂLUGĂREASCĂ,VALEA CĂLUGĂREASCĂ,PRAHOVA,Arondată,Unitate de învățământ,Publică de interes naţional şi local
14845,2962106409,"ȘCOALA GIMNAZIALĂ, SAT NUCȘOARA DE JOS, COMUNA POSEȘTI",SCOALA GIM NUCSOARA DE JOS,NUCŞOARA DE JOS,POSEŞTI,PRAHOVA,Arondată,Unitate de învățământ,Publică de interes naţional şi local
14846,3762102627,"ȘCOALA GIMNAZIALĂ, SAT OBÂRȘENII LINGURARI",S08 OBÂRȘENII LINGURARI,OBÂRŞENII LINGURARI,VOINEŞTI,VASLUI,Arondată,Unitate de învățământ,Publică de interes naţional şi local
14847,2962100941,"ȘCOALA GIMNAZIALĂ, SAT OGRETIN, COMUNA DRAJNA",SCOALA GIM OGRETIN DRAJNA,OGRETIN,DRAJNA,PRAHOVA,Arondată,Unitate de învățământ,Publică de interes naţional şi local
14848,2962103935,"ȘCOALA GIMNAZIALĂ, SAT OLOGENI, COMUNA POIENARII BURCHII",SCOALA GIM OLOGENI POIEN.BURC,OLOGENI,POIENARII BURCHII,PRAHOVA,Arondată,Unitate de învățământ,Publică de interes naţional şi local
14849,3762100209,"ȘCOALA GIMNAZIALĂ, SAT OPRIȘIȚA",S08 OPRIȘIȚA,OPRIŞIŢA,POIENEŞTI,VASLUI,Arondată,Unitate de învățământ,Publică de interes naţional şi local
14850,1062105112,ŞCOALA GIMNAZIALĂ SAT OREAVUL COMUNA VALEA RÂMNICULUI,ŞC.GIM OREAVUL,OREAVUL,VALEA RÂMNICULUI,BUZĂU,Arondată,Unitate de învățământ,Publică de interes naţional şi local
14851,2962104452,"ȘCOALA GIMNAZIALĂ, SAT OSTROVU, COMUNA ALUNIȘ",SCOALA GIMNAZIALA OSTROVU ALUNIS,OSTROVU,ALUNIŞ,PRAHOVA,Arondată,Unitate de învățământ,Publică de interes naţional şi local
14852,2962100534,"ȘCOALA GIMNAZIALĂ, SAT PAREPA-RUȘANI, COMUNA COLCEAG",SCOALA GIM PAREPA RUSANI,PAREPA-RUŞANI,COLCEAG,PRAHOVA,Arondată,Unitate de învățământ,Publică de interes naţional şi local
14853,1062106832,ŞCOALA GIMNAZIALĂ SAT PĂLTINENI ORAŞ NEHOIU,ŞC. GIM PĂLTINENI,PĂLTINENI,ORAŞ NEHOIU,BUZĂU,Arondată,Unitate de învățământ,Publică de interes naţional şi local
14854,3861105366,"ȘCOALA GIMNAZIALĂ, SAT PĂUȘEȘTI OTĂSĂU, COMUNA PĂUȘEȘTI",SC GIM PAUSESTI,PĂUSEŞTI-OTĂSĂU,PĂUŞEŞTI,VÂLCEA,Cu personalitate juridică,Unitate de învățământ,Publică de interes naţional şi local
14855,2962100412,"ȘCOALA GIMNAZIALĂ, SAT PIETRICEAUA, COMUNA BREBU",SCOALA GIM PIETRICEAUA BREBU,PIETRICEAUA,BREBU,PRAHOVA,Arondată,Unitate de învățământ,Publică de interes naţional şi local
14856,2962105747,"ȘCOALA GIMNAZIALĂ, SAT PIETROȘANI, COMUNA PUCHENII MARI",SCOALA GIM PIETROSANI PUCHENI,PIETROŞANI,PUCHENII MARI,PRAHOVA,Arondată,Unitate de învățământ,Publică de interes naţional şi local
14857,1062103006,ȘCOALA GIMNAZIALĂ SAT PITULICEA COMUNA GLODEANU SĂRAT,ȘC. GIMN. PITULICEA GLODEANU SĂRAT,PITULICEA,GLODEANU SĂRAT,BUZĂU,Arondată,Unitate de învățământ,Publică de interes naţional şi local
14858,1062105659,ȘCOALA GIMNAZIALĂ SAT PLAIUL NUCULUI COMUNA LOPĂTARI,ȘC. GIMN. PLAIUL NUCULUI LOPATARI,PLAIU NUCULUI,LOPĂTARI,BUZĂU,Arondată,Unitate de învățământ,Publică de interes naţional şi local
14859,1062105297,ŞCOALA GIMNAZIALĂ SAT PLEŞI COMUNA BISOCA,ȘC GIMN PLEŞI,PLEŞI,BISOCA,BUZĂU,Arondată,Unitate de învățământ,Publică de interes naţional şi local
14860,1062105442,ȘCOALA GIMNAZIALĂ SAT PLEVNA COMUNA GREBĂNU,ȘC. GIMN. PLEVNA GREBĂNU,PLEVNA,GREBĂNU,BUZĂU,Arondată,Unitate de învățământ,Publică de interes naţional şi local
14861,2962102518,"ȘCOALA GIMNAZIALĂ, SAT PLOIEȘTIORI, COMUNA BLEJOI",SCOALA GIM PLOIESTIORI,PLOIEŞTIORI,BLEJOI,PRAHOVA,Arondată,Unitate de învățământ,Publică de interes naţional şi local
14862,2962104167,"ȘCOALA GIMNAZIALĂ, SAT PLOPENI, COMUNA DUMBRĂVEȘTI",SCOALA GIM PLOPENI-SAT,PLOPENI,DUMBRĂVEŞTI,PRAHOVA,Arondată,Unitate de învățământ,Publică de interes naţional şi local
14863,2962105453,"ȘCOALA GIMNAZIALĂ, SAT PODENII VECHI, COMUNA BĂLȚEȘTI",SCOALA GIM PODENII VECHI,PODENII VECHI,BĂLŢEŞTI,PRAHOVA,Arondată,Unitate de învățământ,Publică de interes naţional şi local
14864,3762106916,"ȘCOALA GIMNAZIALĂ, SAT POGĂNEȘTI",S08 POGĂNEȘTI,POGĂNEŞTI,STĂNILEŞTI,VASLUI,Arondată,Unitate de învățământ,Publică de interes naţional şi local
14865,1062100342,ŞCOALA GIMNAZIALĂ SAT POGONELE COMUNA ŢINTEŞTI,ŞC.GIM. POGONELE,POGONELE,ŢINTEŞTI,BUZĂU,Arondată,Unitate de învățământ,Publică de interes naţional şi local
14866,2962105652,"ȘCOALA GIMNAZIALĂ, SAT POIANA COPĂCENI, COMUNA GURA VITIOAREI",SCOALA GIM POIANA COPACENI,POIANA COPĂCENI,GURA VITIOAREI,PRAHOVA,Arondată,Unitate de învățământ,Publică de interes naţional şi local
14867,2962103926,"ȘCOALA GIMNAZIALĂ, SAT POIENARII APOSTOLI, COMUNA GORGOTA",SCOALA GIM POENARII APOSTOLI,POIENARII APOSTOLI,GORGOTA,PRAHOVA,Arondată,Unitate de învățământ,Publică de interes naţional şi local
14868,3861100551,"ȘCOALA GIMNAZIALĂ, SAT POPEȘTI, COMUNA GOLEȘTI",SC GIM POPESTI GOLESTI,POPEŞTI,GOLEŞTI,VÂLCEA,Cu personalitate juridică,Unitate de învățământ,Publică de interes naţional şi local
14869,2961100172,"ȘCOALA GIMNAZIALĂ, SAT POSEȘTII-PĂMÂNTENI, COMUNA POSEȘTI",SCOALA GIM POSESTII PAMINTENI,POSEŞTII-PĂMÂNTENI,POSEŞTI,PRAHOVA,Cu personalitate juridică,Unitate de învățământ,Publică de interes naţional şi local
14870,1062101212,ȘCOALA GIMNAZIALĂ SAT POTOCENI COMUNA MĂRĂCINENI,ȘC. GIMN. POTOCENI,POTOCENI,MĂRĂCINENI,BUZĂU,Arondată,Unitate de învățământ,Publică de interes naţional şi local
14871,3762106527,"ȘCOALA GIMNAZIALĂ, SAT PRIBEȘTI",S08 PRIBEȘTI,PRIBEŞTI,CODĂEŞTI,VASLUI,Arondată,Unitate de învățământ,Publică de interes naţional şi local
14872,3762100575,"ȘCOALA GIMNAZIALĂ, SAT PROTOPOPEȘTI",S08 PROTOPOPEȘTI,PROTOPOPEŞTI,TĂCUTA,VASLUI,Arondată,Unitate de învățământ,Publică de interes naţional şi local
14873,2962105756,"ȘCOALA GIMNAZIALĂ, SAT PUCHENII MOȘNENI, COMUNA PUCHENII MARI",SCOALA GIM PUCHENII MOSNENI,PUCHENII MOŞNENI,PUCHENII MARI,PRAHOVA,Arondată,Unitate de învățământ,Publică de interes naţional şi local
14874,3762101689,"ȘCOALA GIMNAZIALĂ, SAT PUNTIȘENI",S08 PUNTIȘENI,PUNTIŞENI,COSTEŞTI,VASLUI,Arondată,Unitate de învățământ,Publică de interes naţional şi local
14875,2962106843,"ȘCOALA GIMNAZIALĂ, SAT RACHIERI, COMUNA VALEA CĂLUGĂREASCĂ",SCOALA GIM RACHIERI VALEA C.,RACHIERI,VALEA CĂLUGĂREASCĂ,PRAHOVA,Arondată,Unitate de învățământ,Publică de interes naţional şi local
14876,3762107193,"ȘCOALA GIMNAZIALĂ, SAT RACOVA",S08 RACOVA,RACOVA,GÂRCENI,VASLUI,Arondată,Unitate de învățământ,Publică de interes naţional şi local
14877,3762103325,"ȘCOALA GIMNAZIALĂ, SAT RÂNZEȘTI",S08 RÂNZEȘTI,RÂNZEŞTI,FĂLCIU,VASLUI,Arondată,Unitate de învățământ,Publică de interes naţional şi local
14878,3762103515,"ȘCOALA GIMNAZIALĂ, SAT RÂȘEȘTI",S08 RÂȘEȘTI,RÂŞEŞTI,DRÂNCENI,VASLUI,Arondată,Unitate de învățământ,Publică de interes naţional şi local
14879,3762102274,"ȘCOALA GIMNAZIALĂ, SAT REBRICEA",S08 REBRICEA,REBRICEA,REBRICEA,VASLUI,Arondată,Unitate de învățământ,Publică de interes naţional şi local
14880,3762101671,"ȘCOALA GIMNAZIALĂ, SAT RECEA",S08 RECEA,RECEA,IANA,VASLUI,Arondată,Unitate de învățământ,Publică de interes naţional şi local
14881,2962101241,"ȘCOALA GIMNAZIALĂ, SAT ROMÂNEȘTI, COMUNA BĂRCĂNEȘTI",SCOALA GIMNAZIALA ROMANESTI,ROMÂNEŞTI,BĂRCĂNEŞTI,PRAHOVA,Arondată,Unitate de învățământ,Publică de interes naţional şi local
